epoch,acc,loss,lr,val_acc,val_loss
0,0.878234206989,0.381790133904,0.002,0.871521577381,0.741465640769
1,0.948823924731,0.116612958389,0.002,0.919289434524,0.552344006676
2,0.961382728495,0.0881136374652,0.002,0.84177827381,0.483532192629
3,0.965924619176,0.0767649498365,0.002,0.842745535714,1.20707991693
4,0.968834005376,0.0699029164729,0.002,0.927008928571,0.372687176479
5,0.970612119176,0.066189382744,0.002,0.728069196429,3.83945418469
6,0.972367831541,0.0615909732443,0.002,0.925855654762,0.21883046561
7,0.973850526434,0.0586743677341,0.002,0.929594494048,0.457767724191
8,0.975103606631,0.0562370129925,0.002,0.83513764881,0.886185533119
9,0.97624187948,0.0536891820539,0.002,0.897488839286,1.02756302465
10,0.977361951165,0.051628111716,0.002,0.970182291667,0.0849551752987
11,0.977794578853,0.0504906575358,0.002,0.930859375,0.811889025459
12,0.978809643817,0.0491367152117,0.002,0.935007440476,0.419040607961
13,0.979424283154,0.0475104911099,0.002,0.93828125,0.701701054916
14,0.980080925179,0.0464583136404,0.002,0.931677827381,0.423303886182
15,0.980437948029,0.0452503734116,0.002,0.942838541667,0.537227223753
16,0.981102990591,0.044592473554,0.002,0.940345982143,0.117007887536
17,0.981451612903,0.0438707145213,0.002,0.930803571429,0.784016004342
18,0.981870239695,0.0427004253322,0.002,0.926041666667,0.231595486478
19,0.985549675179,0.034157921594,0.0002,0.981156994048,0.0528930964555
20,0.98643453181,0.03199124092,0.0002,0.964546130952,0.0767845414354
21,0.98703797043,0.0311550191085,0.0002,0.983779761905,0.0435131802104
22,0.987425795251,0.0302725282505,0.0002,0.96912202381,0.0490299712648
23,0.98760640681,0.0298623576107,0.0002,0.98748139881,0.0319365031103
24,0.987830421147,0.0296933715613,0.0002,0.969438244048,0.0653151175775
25,0.987974630376,0.0292936579926,0.0002,0.966127232143,0.089253086994
26,0.988137040771,0.0287743922639,0.0002,0.988002232143,0.0299531889224
27,0.988298051075,0.028511077548,0.0002,0.988206845238,0.0299610478392
28,0.988471662186,0.0282397672815,0.0002,0.987332589286,0.0308877334912
29,0.988372255824,0.0282095815652,0.0002,0.988318452381,0.0300120847176
30,0.988615871416,0.0278562789702,0.0002,0.986011904762,0.033535245859
31,0.988617271505,0.0277277100701,0.0002,0.968973214286,0.0667973381205
32,0.988610271057,0.0276348021041,0.0002,0.981938244048,0.0544676367664
33,0.988823084677,0.0272467067264,0.0002,0.98517485119,0.0386616086562
34,0.988831485215,0.0271143307558,0.0002,0.986402529762,0.0401845556619
35,0.988866487455,0.0271491261606,0.0002,0.988430059524,0.0296768554043
36,0.989024697581,0.0270246843794,0.0002,0.98709077381,0.0331991997038
37,0.989054099462,0.0266624630292,0.0002,0.96759672619,0.0976550536436
38,0.989149305556,0.0266024952236,0.0002,0.956584821429,0.236922541013
39,0.989224910394,0.0264770092942,0.0002,0.988318452381,0.0300538926012
40,0.989216509857,0.0263748177085,0.0002,0.968024553571,0.0882036326386
41,0.989227710573,0.0264306918213,0.0002,0.987760416667,0.0352476216777
42,0.989406922043,0.0261127427168,0.0002,0.96052827381,0.269570949214
43,0.989406922043,0.0259922421554,0.0002,0.988802083333,0.0281834033533
44,0.989468525986,0.0259021266814,0.0002,0.985026041667,0.0374649920368
45,0.989553931452,0.0258081453061,0.0002,0.989136904762,0.0278857535512
46,0.989531530018,0.0257355117389,0.0002,0.965048363095,0.125828587581
47,0.989674339158,0.0255328450795,0.0002,0.986588541667,0.0392907982755
48,0.989679939516,0.0255314642204,0.0002,0.988895089286,0.029238404322
49,0.98966733871,0.0255053673644,0.0002,0.986514136905,0.0367342863071
50,0.989794746864,0.0252253468457,0.0002,0.98357514881,0.0480101673683
51,0.989852150538,0.0251562799563,0.0002,0.988430059524,0.0321728922587
52,0.989875952061,0.0250689205521,0.0002,0.989322916667,0.027593014078
53,0.989870351703,0.0250911158172,0.0002,0.986123511905,0.0380260364648
54,0.989882952509,0.024993817005,0.0002,0.986979166667,0.0370195189805
55,0.990052363351,0.024812412021,0.0002,0.986588541667,0.03480638196
56,0.989965557796,0.0248741390804,0.0002,0.987704613095,0.0371109225703
57,0.990006160394,0.0247081095564,0.0002,0.987965029762,0.0318624647017
58,0.990190972222,0.0245129020274,0.0002,0.988448660714,0.0285435629146
59,0.990013160842,0.0245582924235,0.0002,0.960193452381,0.1842444672
60,0.990069164427,0.0244880536235,0.0002,0.988132440476,0.0309709549445
61,0.990675403226,0.0232793220555,2e-05,0.989620535714,0.0275062373778
62,0.990798611111,0.0229764544478,2e-05,0.989657738095,0.0264235969058
63,0.990854614695,0.0227402552444,2e-05,0.98986235119,0.0264385735006
64,0.990854614695,0.0228425087036,2e-05,0.989676339286,0.0269673195338
65,0.990955421147,0.0226187801678,2e-05,0.989806547619,0.0266237544971
66,0.990856014785,0.0226696167596,2e-05,0.989657738095,0.0268145826528
67,0.990889616935,0.0226288191824,2e-05,0.989787946429,0.026583680559
68,0.990968021953,0.0226249713955,2e-05,0.989601934524,0.0273908195116
69,0.990928819444,0.02266200644,2e-05,0.989713541667,0.0270638595095
70,0.991032426075,0.0223793274934,2e-05,0.989732142857,0.027331689103
71,0.991021225358,0.022532824606,2e-05,0.989806547619,0.0266264259769
72,0.991039426523,0.022338601301,2e-06,0.989787946429,0.026905484411
73,0.991106630824,0.0222687585547,2e-06,0.989806547619,0.0269025039259
74,0.991127632168,0.0223641876086,2e-06,0.989713541667,0.0270828791397
75,0.991074428763,0.0223803359022,2e-06,0.989750744048,0.0267739613489
76,0.991057627688,0.0223011554432,2e-06,0.98986235119,0.0269973926396
77,0.991056227599,0.0223408886788,2e-06,0.98984375,0.026835521435
78,0.991061827957,0.0222941105465,2e-06,0.98982514881,0.0269946149525
