epoch,acc,loss,lr,val_acc,val_loss
0,0.875702844982,0.27465796741,0.002,0.937797619048,0.129649803424
1,0.961629144265,0.0874042079962,0.002,0.979631696429,0.0478266272127
2,0.976904121864,0.0540008189179,0.002,0.983128720238,0.0412001675702
3,0.976992327509,0.0557177695739,0.002,0.979966517857,0.0481232288644
4,0.982673891129,0.0404823746436,0.002,0.986160714286,0.0317937467273
5,0.983929771505,0.0375799632951,0.002,0.98439360119,0.0406585132023
6,0.985286458333,0.0349475524102,0.002,0.988132440476,0.0275791827704
7,0.985817092294,0.0336552649996,0.002,0.988318452381,0.0279332688919
8,0.986447132616,0.032010986869,0.002,0.988485863095,0.02777842363
9,0.98686155914,0.0315349835656,0.002,0.988634672619,0.0282233160277
10,0.987757616487,0.0291745436118,0.002,0.98984375,0.0241673908356
11,0.987850022401,0.0288780647363,0.002,0.988820684524,0.0261880697554
12,0.988229446685,0.028267635261,0.002,0.989769345238,0.0253822865786
13,0.988821684588,0.0271413498816,0.002,0.990941220238,0.022883899324
14,0.988683075717,0.0274060557191,0.002,0.990364583333,0.0224688242847
15,0.989450324821,0.0254111630302,0.002,0.990625,0.0230514850003
16,0.989374719982,0.0258531312691,0.002,0.991090029762,0.0228530890929
17,0.989745743728,0.0249260282921,0.002,0.99021577381,0.0240364826029
18,0.989964157706,0.0247360223731,0.002,0.991536458333,0.0219214777384
19,0.990363183244,0.0240596873092,0.002,0.990290178571,0.023720376942
20,0.990533994176,0.0233685362409,0.002,0.991164434524,0.0219566613651
21,0.99080421147,0.0228330498517,0.002,0.991852678571,0.020343540053
22,0.990818212366,0.0227050170744,0.002,0.992354910714,0.0192246881906
23,0.991067428315,0.0221149748496,0.002,0.991294642857,0.0237970513857
24,0.991241039427,0.0221059867803,0.002,0.992001488095,0.0209478756912
25,0.991164034498,0.0220611194486,0.002,0.992094494048,0.0209354804684
26,0.991444052419,0.0214345541162,0.002,0.991369047619,0.0233801806833
27,0.991614863351,0.0213526104288,0.002,0.992373511905,0.0203962116886
28,0.991613463262,0.0213612744404,0.002,0.992373511905,0.0193196309065
29,0.991595262097,0.0208943336629,0.002,0.992708333333,0.0188672743175
30,0.991679267473,0.0209452432557,0.002,0.99142485119,0.0211752170602
31,0.99169186828,0.0212179040608,0.002,0.992819940476,0.0194103288537
32,0.991985887097,0.0202288613593,0.002,0.992150297619,0.0207948079515
33,0.992036290323,0.0202407823589,0.002,0.99177827381,0.0216661803182
34,0.991957885305,0.0202453103765,0.002,0.992801339286,0.0185448989502
35,0.992207101254,0.0198265812775,0.002,0.992447916667,0.0197699734036
36,0.992229502688,0.0196200223534,0.002,0.993005952381,0.0184060126963
37,0.992253304211,0.0196359583599,0.002,0.993526785714,0.0165032207931
38,0.992296706989,0.0195359305423,0.002,0.992466517857,0.0194468870407
39,0.992362511201,0.0194408455488,0.002,0.992764136905,0.020164137588
40,0.992324708781,0.0195497646595,0.002,0.993396577381,0.0188796177076
41,0.992370911738,0.0193223408373,0.002,0.990699404762,0.0252453790423
42,0.992428315412,0.019245639502,0.002,0.993024553571,0.0185602337546
43,0.992618727599,0.0185938404276,0.002,0.992857142857,0.0184979350588
44,0.992571124552,0.0188422101229,0.002,0.991871279762,0.0206204917721
45,0.992642529122,0.0186639593675,0.002,0.991722470238,0.0210036374638
46,0.992706933244,0.0187069224772,0.002,0.992243303571,0.0210571932607
47,0.992729334677,0.0186362348074,0.002,0.992931547619,0.0193002347771
48,0.989742943548,0.02892975554,0.002,0.989136904762,0.0310823202082
49,0.993194164427,0.0174040962874,0.001,0.994103422619,0.0155057527503
50,0.993918010753,0.0155141984947,0.001,0.993173363095,0.017219376693
51,0.993954413082,0.015282378886,0.001,0.993861607143,0.0167018009799
52,0.994004816308,0.0150420248857,0.001,0.994047619048,0.0164017116678
53,0.994121023746,0.0149322675056,0.001,0.99415922619,0.0164661965485
54,0.994230230735,0.0147776883956,0.001,0.993917410714,0.0160576712354
55,0.994276433692,0.0144932956999,0.001,0.993452380952,0.0173677372631
56,0.994343637993,0.0144079496043,0.001,0.993954613095,0.0168636136633
57,0.994329637097,0.0143828354235,0.001,0.994103422619,0.0167050772197
58,0.994420642921,0.0141327208371,0.001,0.99373139881,0.0178608231489
59,0.994479446685,0.0140390233186,0.001,0.993880208333,0.0174074033973
60,0.994489247312,0.0140780796736,0.001,0.991964285714,0.0224279027178
61,0.995070284498,0.0125407861524,0.0005,0.994215029762,0.0157567701734
62,0.995176691308,0.012254683991,0.0005,0.994401041667,0.0161755639384
63,0.995290098566,0.0119710969707,0.0005,0.994438244048,0.0161432850095
64,0.995325100806,0.0118883650852,0.0005,0.994401041667,0.01615452054
65,0.995386704749,0.0117033461122,0.0005,0.993582589286,0.0181310256207
66,0.995486111111,0.011535896679,0.0005,0.994215029762,0.0165995568434
67,0.995539314516,0.0114159649859,0.0005,0.993508184524,0.0188056722221
68,0.995532314068,0.0112741320756,0.0005,0.994029017857,0.0182015811448
69,0.995648521505,0.0112122450164,0.0005,0.993024553571,0.0190106890737
70,0.995696124552,0.0110810900542,0.0005,0.993601190476,0.0187297383842
71,0.995777329749,0.0109905361242,0.0005,0.994140625,0.0172414813351
72,0.995841733871,0.0108252955952,0.0005,0.994084821429,0.0176184643193
73,0.99580813172,0.0108286621446,0.0005,0.993861607143,0.0179445973696
74,0.996319164427,0.0096319872311,0.00025,0.994215029762,0.0182977761436
75,0.996440972222,0.0094366596924,0.00025,0.993991815476,0.018614661558
76,0.996464773746,0.00929666552413,0.00025,0.994066220238,0.0191632792675
77,0.996544578853,0.0091495292134,0.00025,0.994270833333,0.0191712591914
78,0.996548779122,0.00897581074051,0.00025,0.994010416667,0.0202561501679
79,0.99669858871,0.00884874266214,0.00025,0.993805803571,0.0202168203426
80,0.996726590502,0.00875512100941,0.00025,0.993936011905,0.0207381768429
81,0.996792394713,0.00860934821218,0.00025,0.993694196429,0.0211316877303
82,0.996813396057,0.00855406694844,0.00025,0.993712797619,0.0221120215953
83,0.996852598566,0.00839598552655,0.00025,0.993656994048,0.021434691596
84,0.997206821237,0.0077773744617,0.000125,0.993656994048,0.0222843557755
